platform_number,float_serial_no,project_name,pi_name,platform_type,direction,data_centre,cycle_number
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',250.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',251.0
b'1901300 ',b'5590                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',250.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',251.0
b'1901344 ',b'7075                            ',b'Argo Australia                                                  ',b'Susan Wijffels                                                  ',b'APEX                            ',b'A',b'CS',192.0
b'1901344 ',b'7075                            ',b'Argo Australia                                                  ',b'Susan Wijffels                                                  ',b'APEX                            ',b'A',b'CS',193.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',250.0
b'1901290 ',b'5589                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',251.0
b'1901300 ',b'5590                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',249.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',250.0
b'1901302 ',b'5596                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',251.0
b'1901344 ',b'7075                            ',b'Argo Australia                                                  ',b'Susan Wijffels                                                  ',b'APEX                            ',b'A',b'CS',192.0
b'1901344 ',b'7075                            ',b'Argo Australia                                                  ',b'Susan Wijffels                                                  ',b'APEX                            ',b'A',b'CS',193.0
b'1901344 ',b'7075                            ',b'Argo Australia                                                  ',b'Susan Wijffels                                                  ',b'APEX                            ',b'A',b'CS',194.0
b'1901740 ',b'925                             ',b'Argo Australia                                                  ',b'Peter Oke                                                       ',b'NAVIS_EBR                       ',b'A',b'CS',36.0
b'1901740 ',b'925                             ',b'Argo Australia                                                  ',b'Peter Oke                                                       ',b'NAVIS_EBR                       ',b'A',b'CS',37.0
b'1901740 ',b'925                             ',b'Argo Australia                                                  ',b'Peter Oke                                                       ',b'NAVIS_EBR                       ',b'A',b'CS',38.0
b'1901741 ',b'924                             ',b'Argo Australia                                                  ',b'Peter Oke                                                       ',b'NAVIS_EBR                       ',b'A',b'CS',36.0
b'1901741 ',b'924                             ',b'Argo Australia                                                  ',b'Peter Oke                                                       ',b'NAVIS_EBR                       ',b'A',b'CS',37.0
b'1901742 ',b'923                             ',b'Argo Australia                                                  ',b'Peter Oke                                                       ',b'NAVIS_EBR                       ',b'A',b'CS',36.0
b'1901796 ',b'8277                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',193.0
b'1901796 ',b'8277                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',194.0
b'1901796 ',b'8277                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',195.0
b'1901796 ',b'8277                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',196.0
b'1901832 ',b'8434                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',144.0
b'1901832 ',b'8434                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',145.0
b'1901832 ',b'8434                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',146.0
b'1901832 ',b'8434                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',147.0
b'1901839 ',b'8487                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',118.0
b'1901839 ',b'8487                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',119.0
b'1901839 ',b'8487                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',120.0
b'1901840 ',b'8488                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',118.0
b'1901840 ',b'8488                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',119.0
b'1901840 ',b'8488                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',120.0
b'1901841 ',b'8489                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',118.0
b'1901841 ',b'8489                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',119.0
b'1901842 ',b'8490                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',118.0
b'1901842 ',b'8490                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',119.0
b'1901843 ',b'8491                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',118.0
b'1901843 ',b'8491                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',119.0
b'1901846 ',b'7002                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',205.0
b'1901846 ',b'7002                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',206.0
b'1901846 ',b'7002                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',207.0
b'1901848 ',b'7007                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',205.0
b'1901848 ',b'7007                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',206.0
b'1901848 ',b'7007                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',207.0
b'1901858 ',b'7345                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',150.0
b'1901858 ',b'7345                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',151.0
b'1901858 ',b'7345                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',152.0
b'1901862 ',b'7211                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',128.0
b'1901862 ',b'7211                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',129.0
b'1901862 ',b'7211                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',130.0
b'1901881 ',b'7579                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',101.0
b'1901881 ',b'7579                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',102.0
b'1901884 ',b'7582                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',101.0
b'1901884 ',b'7582                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',102.0
b'1901884 ',b'7582                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',103.0
b'1901897 ',b'5023                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',60.0
b'1901897 ',b'5023                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',61.0
b'1901897 ',b'5023                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',62.0
b'1901898 ',b'5024                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',60.0
b'1901898 ',b'5024                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',61.0
b'1901899 ',b'5599                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',62.0
b'1901899 ',b'5599                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',63.0
b'1901899 ',b'5599                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',64.0
b'1901901 ',b'8463                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',57.0
b'1901901 ',b'8463                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',58.0
b'1901901 ',b'8463                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',59.0
b'1901907 ',b'5601                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',60.0
b'1901907 ',b'5601                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',61.0
b'1901907 ',b'5601                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',62.0
b'1901909 ',b'7023                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',62.0
b'1901909 ',b'7023                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',63.0
b'1901909 ',b'7023                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',64.0
b'1902024 ',b'8492                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',118.0
b'1902025 ',b'8493                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',118.0
b'1902039 ',b'8726                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',37.0
b'1902039 ',b'8726                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',38.0
b'1902039 ',b'8726                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',39.0
b'1902039 ',b'8726                            ',b'US ARGO PROJECT                                                 ',b'DEAN ROEMMICH                                                   ',b'SOLO_II                         ',b'A',b'AO',39.0
b'2901522 ',b'5694                            ',b'APEX                            ',b'CHINA ARGO PROJECT                                              ',b'D',248.0,b'A',b'PRES            '
b'2901522 ',b'5694                            ',b'APEX                            ',b'CHINA ARGO PROJECT                                              ',b'D',248.0,b'A',b'TEMP            '
b'2901522 ',b'5694                            ',b'APEX                            ',b'CHINA ARGO PROJECT                                              ',b'D',248.0,b'A',b'PSAL            '
b'2901900 ',b'5598                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',126.0
b'2901900 ',b'5598                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',127.0
b'2901900 ',b'5598                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',127.0
b'2901900 ',b'5598                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',128.0
b'2901902 ',b'5565                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',80.0
b'2901902 ',b'5565                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',81.0
b'2901902 ',b'5565                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',82.0
b'2901904 ',b'7594                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',80.0
b'2901904 ',b'7594                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',81.0
b'2901904 ',b'7594                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',82.0
b'2901904 ',b'7594                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',83.0
b'2901905 ',b'7595                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',81.0
b'2901905 ',b'7595                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',82.0
b'2901905 ',b'7595                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',82.0
b'2901905 ',b'7595                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',83.0
b'2902557 ',b'OIN-12-CH1-S31-3                ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',218.0,b'A',b'PRES            '
b'2902557 ',b'OIN-12-CH1-S31-3                ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',218.0,b'A',b'TEMP            '
b'2902557 ',b'OIN-12-CH1-S31-3                ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',218.0,b'A',b'PSAL            '
b'2902558 ',b'OIN-12-CH1-S31-4                ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',220.0,b'A',b'PRES            '
b'2902558 ',b'OIN-12-CH1-S31-4                ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',220.0,b'A',b'TEMP            '
b'2902558 ',b'OIN-12-CH1-S31-4                ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',220.0,b'A',b'PSAL            '
b'2902578 ',b'OIN-12-CH1-S3-28                ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',215.0,b'A',b'PRES            '
b'2902578 ',b'OIN-12-CH1-S3-28                ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',215.0,b'A',b'TEMP            '
b'2902578 ',b'OIN-12-CH1-S3-28                ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',215.0,b'A',b'PSAL            '
b'2902581 ',b'OIN-13CH-S31-03                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',205.0,b'A',b'PRES            '
b'2902581 ',b'OIN-13CH-S31-03                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',205.0,b'A',b'TEMP            '
b'2902581 ',b'OIN-13CH-S31-03                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',205.0,b'A',b'PSAL            '
b'2902589 ',b'OIN-13CH-S31-20                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',202.0,b'A',b'PRES            '
b'2902589 ',b'OIN-13CH-S31-20                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',202.0,b'A',b'TEMP            '
b'2902589 ',b'OIN-13CH-S31-20                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',202.0,b'A',b'PSAL            '
b'2902594 ',b'OIN-13CH-S31-28                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',204.0,b'A',b'PRES            '
b'2902594 ',b'OIN-13CH-S31-28                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',204.0,b'A',b'TEMP            '
b'2902594 ',b'OIN-13CH-S31-28                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',204.0,b'A',b'PSAL            '
b'2902596 ',b'OIN-13CH-S31-40                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',205.0,b'A',b'PRES            '
b'2902596 ',b'OIN-13CH-S31-40                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',205.0,b'A',b'TEMP            '
b'2902596 ',b'OIN-13CH-S31-40                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',205.0,b'A',b'PSAL            '
b'2902600 ',b'OIN-13CH-S31-13                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',194.0,b'A',b'PRES            '
b'2902600 ',b'OIN-13CH-S31-13                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',194.0,b'A',b'TEMP            '
b'2902600 ',b'OIN-13CH-S31-13                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',194.0,b'A',b'PSAL            '
b'2902608 ',b'OIN-13CH-S31-56                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',216.0,b'A',b'PRES            '
b'2902608 ',b'OIN-13CH-S31-56                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',216.0,b'A',b'TEMP            '
b'2902608 ',b'OIN-13CH-S31-56                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',216.0,b'A',b'PSAL            '
b'2902609 ',b'OIN-13CH-S31-75                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',193.0,b'A',b'PRES            '
b'2902609 ',b'OIN-13CH-S31-75                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',193.0,b'A',b'TEMP            '
b'2902609 ',b'OIN-13CH-S31-75                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',193.0,b'A',b'PSAL            '
b'2902612 ',b'OIN-13CH-S31-60                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',197.0,b'A',b'PRES            '
b'2902612 ',b'OIN-13CH-S31-60                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',197.0,b'A',b'TEMP            '
b'2902612 ',b'OIN-13CH-S31-60                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',197.0,b'A',b'PSAL            '
b'2902619 ',b'OIN-13CH-S31-68                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',193.0,b'A',b'PRES            '
b'2902619 ',b'OIN-13CH-S31-68                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',193.0,b'A',b'TEMP            '
b'2902619 ',b'OIN-13CH-S31-68                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',193.0,b'A',b'PSAL            '
b'2902652 ',b'OIN-13CH-S31-39                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',190.0,b'A',b'PRES            '
b'2902652 ',b'OIN-13CH-S31-39                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',190.0,b'A',b'TEMP            '
b'2902652 ',b'OIN-13CH-S31-39                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',190.0,b'A',b'PSAL            '
b'2902659 ',b'OIN-13CH-S31-38                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',189.0,b'A',b'PRES            '
b'2902659 ',b'OIN-13CH-S31-38                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',189.0,b'A',b'TEMP            '
b'2902659 ',b'OIN-13CH-S31-38                 ',b'PROVOR                          ',b'CHINA ARGO EQUIVALENT                                           ',b'D',189.0,b'A',b'PSAL            '
b'2902663 ',b'OIN-13CH-S31-48                 ',b'PROVOR                          ',b'China Argo eq.                                                  ',b'D',182.0,b'A',b'PRES            '
b'2902663 ',b'OIN-13CH-S31-48                 ',b'PROVOR                          ',b'China Argo eq.                                                  ',b'D',182.0,b'A',b'TEMP            '
b'2902663 ',b'OIN-13CH-S31-48                 ',b'PROVOR                          ',b'China Argo eq.                                                  ',b'D',182.0,b'A',b'PSAL            '
b'2902669 ',b'OIN-13CH-S31-57                 ',b'PROVOR                          ',b'China Argo eq.                                                  ',b'D',160.0,b'A',b'PRES            '
b'2902669 ',b'OIN-13CH-S31-57                 ',b'PROVOR                          ',b'China Argo eq.                                                  ',b'D',160.0,b'A',b'TEMP            '
b'2902669 ',b'OIN-13CH-S31-57                 ',b'PROVOR                          ',b'China Argo eq.                                                  ',b'D',160.0,b'A',b'PSAL            '
b'2902682 ',b'7722                            ',b'APEX                            ',b'CHINA ARGO EQUIVALENT                                           ',b'D',129.0,b'A',b'PRES            '
b'2902682 ',b'7722                            ',b'APEX                            ',b'CHINA ARGO EQUIVALENT                                           ',b'D',129.0,b'A',b'TEMP            '
b'2902682 ',b'7722                            ',b'APEX                            ',b'CHINA ARGO EQUIVALENT                                           ',b'D',129.0,b'A',b'PSAL            '
b'3901507 ',b'5595                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',181.0
b'3901507 ',b'5595                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',181.0
b'3901507 ',b'5595                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',182.0
b'3901507 ',b'5595                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',183.0
b'3901529 ',b'7586                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',117.0
b'3901529 ',b'7586                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',118.0
b'3901529 ',b'7586                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',119.0
b'3901529 ',b'7586                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',120.0
b'3901533 ',b'7591                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',103.0
b'3901538 ',b'8074                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',81.0
b'3901538 ',b'8074                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',82.0
b'3901538 ',b'8074                            ',b'Argo UK                                                         ',b'Jon Turton                                                      ',b'APEX                            ',b'A',b'BO',83.0
b'3901608 ',b'AL2500-16DE003                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',112.0
b'3901608 ',b'AL2500-16DE003                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',113.0
b'3901647 ',b'AL2500-17DE028                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',72.0
b'3901647 ',b'AL2500-17DE028                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',73.0
b'3901647 ',b'AL2500-17DE028                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',74.0
b'3901648 ',b'AL2500-17DE027                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',72.0
b'3901648 ',b'AL2500-17DE027                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',73.0
b'3901648 ',b'AL2500-17DE027                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',74.0
b'3901649 ',b'AL2500-17DE026                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',72.0
b'3901649 ',b'AL2500-17DE026                  ',b'ARGO-BSH                                                        ',b'Birgit Klein                                                    ',b'ARVOR                           ',b'A',b'IF',73.0
