float_id,cycle_number,latitude,longitude,datetime,temp_min,temp_max,salinity_mean,summary_text
1900410,250,-42.257,96.232,2013-09-22 10:37:06.999375308,5.823,10.961,34.81647058823529,"ARGO float 1900410 on cycle 250 reported data on 2013-09-22 at location 42.3°S, 96.2°E. The profile measured temperatures from 5.8°C to 11.0°C and salinities around 34.8 PSU."
1900804,177,-60.454,138.157,2013-09-08 00:57:59.328000112,0.036,2.308,34.300714285714285,"ARGO float 1900804 on cycle 177 reported data on 2013-09-08 at location 60.5°S, 138.2°E. The profile measured temperatures from 0.0°C to 2.3°C and salinities around 34.3 PSU."
1900804,178,-60.3,138.424,2013-09-17 22:35:34.368000043,-0.076,2.308,34.30360714285714,"ARGO float 1900804 on cycle 178 reported data on 2013-09-17 at location 60.3°S, 138.4°E. The profile measured temperatures from -0.1°C to 2.3°C and salinities around 34.3 PSU."
1900804,179,-60.054,138.643,2013-09-27 20:16:28.127999974,-0.14,2.308,34.30435714285714,"ARGO float 1900804 on cycle 179 reported data on 2013-09-27 at location 60.1°S, 138.6°E. The profile measured temperatures from -0.1°C to 2.3°C and salinities around 34.3 PSU."
1900808,176,-37.759,102.099,2013-09-02 13:47:31.488000155,2.71,12.056,34.826,"ARGO float 1900808 on cycle 176 reported data on 2013-09-02 at location 37.8°S, 102.1°E. The profile measured temperatures from 2.7°C to 12.1°C and salinities around 34.8 PSU."
1900808,177,-37.18,102.154,2013-09-12 12:58:59.807999844,2.69,12.356,34.83957142857143,"ARGO float 1900808 on cycle 177 reported data on 2013-09-12 at location 37.2°S, 102.2°E. The profile measured temperatures from 2.7°C to 12.4°C and salinities around 34.8 PSU."
1900808,178,-36.877,101.94,2013-09-22 12:10:27.263999870,2.698,12.324,34.875392857142856,"ARGO float 1900808 on cycle 178 reported data on 2013-09-22 at location 36.9°S, 101.9°E. The profile measured temperatures from 2.7°C to 12.3°C and salinities around 34.9 PSU."
1900809,176,-41.441,108.226,2013-09-01 12:12:15.263999974,2.664,10.668,34.69128571428571,"ARGO float 1900809 on cycle 176 reported data on 2013-09-01 at location 41.4°S, 108.2°E. The profile measured temperatures from 2.7°C to 10.7°C and salinities around 34.7 PSU."
1900809,177,-41.198,108.487,2013-09-11 11:24:08.639999974,2.602,10.636,34.66567857142857,"ARGO float 1900809 on cycle 177 reported data on 2013-09-11 at location 41.2°S, 108.5°E. The profile measured temperatures from 2.6°C to 10.6°C and salinities around 34.7 PSU."
1900809,178,-40.961,108.563,2013-09-21 10:36:02.879999948,2.602,10.35,34.639964285714285,"ARGO float 1900809 on cycle 178 reported data on 2013-09-21 at location 41.0°S, 108.6°E. The profile measured temperatures from 2.6°C to 10.3°C and salinities around 34.6 PSU."
1900811,176,-23.981,49.879,2013-09-10 10:22:47.135999930,2.596,23.576,35.051785714285714,"ARGO float 1900811 on cycle 176 reported data on 2013-09-10 at location 24.0°S, 49.9°E. The profile measured temperatures from 2.6°C to 23.6°C and salinities around 35.1 PSU."
1900811,177,-24.269,50.528,2013-09-20 10:02:28.895999904,2.604,23.464,35.08575,"ARGO float 1900811 on cycle 177 reported data on 2013-09-20 at location 24.3°S, 50.5°E. The profile measured temperatures from 2.6°C to 23.5°C and salinities around 35.1 PSU."
1900811,178,-24.555,50.87,2013-09-30 09:42:09.791999896,2.616,24.108,35.08107142857143,"ARGO float 1900811 on cycle 178 reported data on 2013-09-30 at location 24.6°S, 50.9°E. The profile measured temperatures from 2.6°C to 24.1°C and salinities around 35.1 PSU."
1900813,176,-28.308,62.029,2013-09-10 05:27:16.991999930,2.632,20.92,35.17527272727273,"ARGO float 1900813 on cycle 176 reported data on 2013-09-10 at location 28.3°S, 62.0°E. The profile measured temperatures from 2.6°C to 20.9°C and salinities around 35.2 PSU."
1900813,177,-28.342,62.695,2013-09-20 04:37:21.503999844,2.604,19.872,35.16378181818182,"ARGO float 1900813 on cycle 177 reported data on 2013-09-20 at location 28.3°S, 62.7°E. The profile measured temperatures from 2.6°C to 19.9°C and salinities around 35.2 PSU."
1900813,178,-28.514,62.99,2013-09-30 03:47:26.016000086,2.572,20.344,35.129236363636366,"ARGO float 1900813 on cycle 178 reported data on 2013-09-30 at location 28.5°S, 63.0°E. The profile measured temperatures from 2.6°C to 20.3°C and salinities around 35.1 PSU."
1900816,164,-2.629,49.141,2013-09-09 20:01:53.002147039,2.577,26.437,35.13823611111111,"ARGO float 1900816 on cycle 164 reported data on 2013-09-09 at location 2.6°S, 49.1°E. The profile measured temperatures from 2.6°C to 26.4°C and salinities around 35.1 PSU."
1900816,165,-2.615,47.461,2013-09-20 17:26:34.001861452,2.603,26.726,35.14011111111111,"ARGO float 1900816 on cycle 165 reported data on 2013-09-20 at location 2.6°S, 47.5°E. The profile measured temperatures from 2.6°C to 26.7°C and salinities around 35.1 PSU."
1900854,200,-55.246,109.69,2013-09-04 01:37:59.999999995,0.375,2.181,34.484531914893616,"ARGO float 1900854 on cycle 200 reported data on 2013-09-04 at location 55.2°S, 109.7°E. The profile measured temperatures from 0.4°C to 2.2°C and salinities around 34.5 PSU."
1900854,201,-54.832,110.166,2013-09-14 01:19:59.999999926,0.425,2.225,34.48791304347826,"ARGO float 1900854 on cycle 201 reported data on 2013-09-14 at location 54.8°S, 110.2°E. The profile measured temperatures from 0.4°C to 2.2°C and salinities around 34.5 PSU."
1900854,202,-54.707,110.833,2013-09-24 01:32:59.999999953,0.184,2.232,34.44859574468085,"ARGO float 1900854 on cycle 202 reported data on 2013-09-24 at location 54.7°S, 110.8°E. The profile measured temperatures from 0.2°C to 2.2°C and salinities around 34.4 PSU."
1900855,200,-58.735,93.217,2013-09-05 00:38:00.000000199,-1.775,1.793,34.547440860215055,"ARGO float 1900855 on cycle 200 reported data on 2013-09-05 at location 58.7°S, 93.2°E. The profile measured temperatures from -1.8°C to 1.8°C and salinities around 34.5 PSU."
1900855,201,-59.54,93.626,2013-09-15 00:45:00.000000000,-1.563,1.981,34.55335106382979,"ARGO float 1900855 on cycle 201 reported data on 2013-09-15 at location 59.5°S, 93.6°E. The profile measured temperatures from -1.6°C to 2.0°C and salinities around 34.6 PSU."
1900855,202,-58.662,91.524,2013-09-25 00:50:59.999999916,-1.652,1.869,34.54168085106383,"ARGO float 1900855 on cycle 202 reported data on 2013-09-25 at location 58.7°S, 91.5°E. The profile measured temperatures from -1.7°C to 1.9°C and salinities around 34.5 PSU."
1900856,201,-53.838,135.285,2013-09-10 02:57:59.999999921,1.885,4.654,34.350098214285715,"ARGO float 1900856 on cycle 201 reported data on 2013-09-10 at location 53.8°S, 135.3°E. The profile measured temperatures from 1.9°C to 4.7°C and salinities around 34.4 PSU."
1900856,202,-54.211,135.758,2013-09-20 02:52:00.000000004,1.856,4.48,34.35058035714285,"ARGO float 1900856 on cycle 202 reported data on 2013-09-20 at location 54.2°S, 135.8°E. The profile measured temperatures from 1.9°C to 4.5°C and salinities around 34.4 PSU."
1900856,203,-55.119,137.168,2013-09-30 02:47:00.000000283,1.82,3.688,34.345954954954955,"ARGO float 1900856 on cycle 203 reported data on 2013-09-30 at location 55.1°S, 137.2°E. The profile measured temperatures from 1.8°C to 3.7°C and salinities around 34.3 PSU."
1900863,200,-52.442,119.035,2013-09-01 00:34:00.000000050,1.946,2.863,34.37335106382979,"ARGO float 1900863 on cycle 200 reported data on 2013-09-01 at location 52.4°S, 119.0°E. The profile measured temperatures from 1.9°C to 2.9°C and salinities around 34.4 PSU."
1900863,201,-53.095,118.699,2013-09-11 00:28:00.000000134,1.827,2.695,34.35982795698925,"ARGO float 1900863 on cycle 201 reported data on 2013-09-11 at location 53.1°S, 118.7°E. The profile measured temperatures from 1.8°C to 2.7°C and salinities around 34.4 PSU."
1900863,202,-54.134,118.81,2013-09-21 00:28:00.000000134,1.934,2.451,34.36833333333333,"ARGO float 1900863 on cycle 202 reported data on 2013-09-21 at location 54.1°S, 118.8°E. The profile measured temperatures from 1.9°C to 2.5°C and salinities around 34.4 PSU."
1900870,135,-28.032,48.209,2013-09-02 02:27:21.999998689,2.547,20.962,35.189129310344825,"ARGO float 1900870 on cycle 135 reported data on 2013-09-02 at location 28.0°S, 48.2°E. The profile measured temperatures from 2.5°C to 21.0°C and salinities around 35.2 PSU."
1900870,136,-28.072,47.993,2013-09-12 03:03:40.000013712,2.544,20.982,35.20144347826087,"ARGO float 1900870 on cycle 136 reported data on 2013-09-12 at location 28.1°S, 48.0°E. The profile measured temperatures from 2.5°C to 21.0°C and salinities around 35.2 PSU."
1900870,137,-28.293,47.685,2013-09-22 01:30:27.000014480,2.546,21.637,35.20287068965517,"ARGO float 1900870 on cycle 137 reported data on 2013-09-22 at location 28.3°S, 47.7°E. The profile measured temperatures from 2.5°C to 21.6°C and salinities around 35.2 PSU."
1900871,135,-38.009,56.919,2013-09-05 02:09:57.999988497,2.621,14.875,35.1146724137931,"ARGO float 1900871 on cycle 135 reported data on 2013-09-05 at location 38.0°S, 56.9°E. The profile measured temperatures from 2.6°C to 14.9°C and salinities around 35.1 PSU."
1900871,136,-37.562,57.754,2013-09-14 23:23:25.999991301,2.588,14.035,35.041387931034485,"ARGO float 1900871 on cycle 136 reported data on 2013-09-14 at location 37.6°S, 57.8°E. The profile measured temperatures from 2.6°C to 14.0°C and salinities around 35.0 PSU."
1900871,137,-38.475,59.61,2013-09-24 23:58:58.000014428,2.635,14.521,35.06444827586207,"ARGO float 1900871 on cycle 137 reported data on 2013-09-24 at location 38.5°S, 59.6°E. The profile measured temperatures from 2.6°C to 14.5°C and salinities around 35.1 PSU."
1900872,134,-39.499,70.086,2013-09-06 11:17:27.000007327,2.594,13.815,35.00350862068966,"ARGO float 1900872 on cycle 134 reported data on 2013-09-06 at location 39.5°S, 70.1°E. The profile measured temperatures from 2.6°C to 13.8°C and salinities around 35.0 PSU."
1900872,135,-39.936,70.356,2013-09-16 13:57:56.999996602,2.667,13.374,35.05513793103449,"ARGO float 1900872 on cycle 135 reported data on 2013-09-16 at location 39.9°S, 70.4°E. The profile measured temperatures from 2.7°C to 13.4°C and salinities around 35.1 PSU."
1900872,136,-39.872,70.912,2013-09-26 11:30:17.000015083,2.668,13.263,35.05793965517241,"ARGO float 1900872 on cycle 136 reported data on 2013-09-26 at location 39.9°S, 70.9°E. The profile measured temperatures from 2.7°C to 13.3°C and salinities around 35.1 PSU."
1900873,100,-39.771,90.607,2013-09-07 04:40:08.999999031,2.544,11.408,34.770147826086955,"ARGO float 1900873 on cycle 100 reported data on 2013-09-07 at location 39.8°S, 90.6°E. The profile measured temperatures from 2.5°C to 11.4°C and salinities around 34.8 PSU."
1900873,101,-39.706,90.073,2013-09-17 06:08:38.000006672,2.548,11.417,34.77081578947369,"ARGO float 1900873 on cycle 101 reported data on 2013-09-17 at location 39.7°S, 90.1°E. The profile measured temperatures from 2.5°C to 11.4°C and salinities around 34.8 PSU."
1900873,102,-39.674,89.84,2013-09-27 04:27:37.000011205,2.528,11.563,34.77713913043478,"ARGO float 1900873 on cycle 102 reported data on 2013-09-27 at location 39.7°S, 89.8°E. The profile measured temperatures from 2.5°C to 11.6°C and salinities around 34.8 PSU."
1900874,100,-38.0,57.695,2013-09-07 14:48:07.000001176,2.581,14.394,35.021513043478265,"ARGO float 1900874 on cycle 100 reported data on 2013-09-07 at location 38.0°S, 57.7°E. The profile measured temperatures from 2.6°C to 14.4°C and salinities around 35.0 PSU."
1900874,101,-38.312,59.445,2013-09-17 16:17:35.000017581,2.704,14.361,35.04578070175439,"ARGO float 1900874 on cycle 101 reported data on 2013-09-17 at location 38.3°S, 59.4°E. The profile measured temperatures from 2.7°C to 14.4°C and salinities around 35.0 PSU."
1900874,102,-38.876,58.328,2013-09-27 16:13:33.000002506,2.666,14.342,35.04545614035087,"ARGO float 1900874 on cycle 102 reported data on 2013-09-27 at location 38.9°S, 58.3°E. The profile measured temperatures from 2.7°C to 14.3°C and salinities around 35.0 PSU."
1900875,100,-38.988,73.793,2013-09-08 13:28:30.000005362,2.618,13.03,34.98153913043478,"ARGO float 1900875 on cycle 100 reported data on 2013-09-08 at location 39.0°S, 73.8°E. The profile measured temperatures from 2.6°C to 13.0°C and salinities around 35.0 PSU."
1900875,101,-38.91,73.9,2013-09-18 14:25:29.000008104,2.704,13.118,34.990938596491226,"ARGO float 1900875 on cycle 101 reported data on 2013-09-18 at location 38.9°S, 73.9°E. The profile measured temperatures from 2.7°C to 13.1°C and salinities around 35.0 PSU."
1900875,102,-38.637,73.651,2013-09-28 13:41:27.000015380,2.639,13.067,34.976365217391304,"ARGO float 1900875 on cycle 102 reported data on 2013-09-28 at location 38.6°S, 73.7°E. The profile measured temperatures from 2.6°C to 13.1°C and salinities around 35.0 PSU."
1900876,100,-52.978,74.608,2013-09-09 12:00:07.999996838,1.402,2.38,34.139941860465115,"ARGO float 1900876 on cycle 100 reported data on 2013-09-09 at location 53.0°S, 74.6°E. The profile measured temperatures from 1.4°C to 2.4°C and salinities around 34.1 PSU."
1900926,250,-42.682,92.529,2013-09-09 23:50:00.000000245,2.798,9.743,34.53720879120879,"ARGO float 1900926 on cycle 250 reported data on 2013-09-09 at location 42.7°S, 92.5°E. The profile measured temperatures from 2.8°C to 9.7°C and salinities around 34.5 PSU."
1900926,251,-42.675,93.946,2013-09-20 00:02:00.000000078,2.824,9.504,34.53575,"ARGO float 1900926 on cycle 251 reported data on 2013-09-20 at location 42.7°S, 93.9°E. The profile measured temperatures from 2.8°C to 9.5°C and salinities around 34.5 PSU."
1900926,252,-43.396,95.747,2013-09-29 23:56:00.000000162,2.902,10.709,34.66896739130435,"ARGO float 1900926 on cycle 252 reported data on 2013-09-29 at location 43.4°S, 95.7°E. The profile measured temperatures from 2.9°C to 10.7°C and salinities around 34.7 PSU."
1900941,240,-50.733,48.252,2013-09-10 11:38:03.000002052,1.758,2.737,34.22065517241379,"ARGO float 1900941 on cycle 240 reported data on 2013-09-10 at location 50.7°S, 48.3°E. The profile measured temperatures from 1.8°C to 2.7°C and salinities around 34.2 PSU."
1900941,241,-50.508,48.819,2013-09-20 14:02:25.000001419,1.902,2.565,34.20056896551724,"ARGO float 1900941 on cycle 241 reported data on 2013-09-20 at location 50.5°S, 48.8°E. The profile measured temperatures from 1.9°C to 2.6°C and salinities around 34.2 PSU."
1900941,242,-50.633,48.855,2013-09-30 11:38:03.000002052,1.827,2.609,34.19472413793103,"ARGO float 1900941 on cycle 242 reported data on 2013-09-30 at location 50.6°S, 48.9°E. The profile measured temperatures from 1.8°C to 2.6°C and salinities around 34.2 PSU."
1900962,166,-52.801,78.558,2013-09-10 08:40:54.336000025,0.15,2.296,34.25093617021277,"ARGO float 1900962 on cycle 166 reported data on 2013-09-10 at location 52.8°S, 78.6°E. The profile measured temperatures from 0.1°C to 2.3°C and salinities around 34.3 PSU."
1900962,167,-51.871,78.25,2013-09-20 06:39:52.415999913,0.48,2.292,34.296214285714285,"ARGO float 1900962 on cycle 167 reported data on 2013-09-20 at location 51.9°S, 78.2°E. The profile measured temperatures from 0.5°C to 2.3°C and salinities around 34.3 PSU."
1900962,168,-52.29,78.901,2013-09-30 05:03:35.712000000,0.038,2.28,34.30717857142857,"ARGO float 1900962 on cycle 168 reported data on 2013-09-30 at location 52.3°S, 78.9°E. The profile measured temperatures from 0.0°C to 2.3°C and salinities around 34.3 PSU."
1900964,166,-54.14,65.334,2013-09-10 06:50:06.720000112,0.992,2.364,34.287,"ARGO float 1900964 on cycle 166 reported data on 2013-09-10 at location 54.1°S, 65.3°E. The profile measured temperatures from 1.0°C to 2.4°C and salinities around 34.3 PSU."
1900964,167,-54.521,64.82,2013-09-20 04:55:56.927999956,0.876,2.364,34.274071428571425,"ARGO float 1900964 on cycle 167 reported data on 2013-09-20 at location 54.5°S, 64.8°E. The profile measured temperatures from 0.9°C to 2.4°C and salinities around 34.3 PSU."
1900964,168,-54.804,64.696,2013-09-30 03:02:24.288000129,0.944,2.34,34.272571428571425,"ARGO float 1900964 on cycle 168 reported data on 2013-09-30 at location 54.8°S, 64.7°E. The profile measured temperatures from 0.9°C to 2.3°C and salinities around 34.3 PSU."
1900966,165,-40.962,20.999,2013-09-06 02:28:32.159999913,2.782,12.976,34.8084,"ARGO float 1900966 on cycle 165 reported data on 2013-09-06 at location 41.0°S, 21.0°E. The profile measured temperatures from 2.8°C to 13.0°C and salinities around 34.8 PSU."
1900967,165,-39.248,74.752,2013-09-04 04:45:46.943999965,2.688,13.1,34.936571428571426,"ARGO float 1900967 on cycle 165 reported data on 2013-09-04 at location 39.2°S, 74.8°E. The profile measured temperatures from 2.7°C to 13.1°C and salinities around 34.9 PSU."
1900967,166,-38.533,75.093,2013-09-14 04:01:05.088000138,2.658,13.004,34.92321428571429,"ARGO float 1900967 on cycle 166 reported data on 2013-09-14 at location 38.5°S, 75.1°E. The profile measured temperatures from 2.7°C to 13.0°C and salinities around 34.9 PSU."
1900967,167,-38.539,75.768,2013-09-24 03:16:23.231999991,2.666,12.704,34.893035714285716,"ARGO float 1900967 on cycle 167 reported data on 2013-09-24 at location 38.5°S, 75.8°E. The profile measured temperatures from 2.7°C to 12.7°C and salinities around 34.9 PSU."
1900968,165,-48.795,123.853,2013-09-06 06:56:59.712000051,2.468,9.392,34.41721428571429,"ARGO float 1900968 on cycle 165 reported data on 2013-09-06 at location 48.8°S, 123.9°E. The profile measured temperatures from 2.5°C to 9.4°C and salinities around 34.4 PSU."
1900968,166,-49.418,126.609,2013-09-16 06:09:57.887999982,2.522,9.568,34.47739285714285,"ARGO float 1900968 on cycle 166 reported data on 2013-09-16 at location 49.4°S, 126.6°E. The profile measured temperatures from 2.5°C to 9.6°C and salinities around 34.5 PSU."
1900968,167,-49.923,128.287,2013-09-26 05:22:55.199999939,2.464,8.176,34.39042857142857,"ARGO float 1900968 on cycle 167 reported data on 2013-09-26 at location 49.9°S, 128.3°E. The profile measured temperatures from 2.5°C to 8.2°C and salinities around 34.4 PSU."
1900969,165,-31.559,42.163,2013-09-07 18:40:00.192000025,2.972,18.248,35.214925925925925,"ARGO float 1900969 on cycle 165 reported data on 2013-09-07 at location 31.6°S, 42.2°E. The profile measured temperatures from 3.0°C to 18.2°C and salinities around 35.2 PSU."
1900969,166,-31.434,41.139,2013-09-17 17:41:21.119999974,3.068,19.336,35.19581481481482,"ARGO float 1900969 on cycle 166 reported data on 2013-09-17 at location 31.4°S, 41.1°E. The profile measured temperatures from 3.1°C to 19.3°C and salinities around 35.2 PSU."
1900969,167,-31.767,40.159,2013-09-27 16:42:42.047999922,3.188,19.0,35.21788888888889,"ARGO float 1900969 on cycle 167 reported data on 2013-09-27 at location 31.8°S, 40.2°E. The profile measured temperatures from 3.2°C to 19.0°C and salinities around 35.2 PSU."
1900970,165,-43.512,65.84,2013-09-02 22:16:58.079999948,2.622,12.748,34.800785714285716,"ARGO float 1900970 on cycle 165 reported data on 2013-09-02 at location 43.5°S, 65.8°E. The profile measured temperatures from 2.6°C to 12.7°C and salinities around 34.8 PSU."
1900970,166,-42.788,65.165,2013-09-12 20:33:57.023999879,2.628,12.108,34.76332142857143,"ARGO float 1900970 on cycle 166 reported data on 2013-09-12 at location 42.8°S, 65.2°E. The profile measured temperatures from 2.6°C to 12.1°C and salinities around 34.8 PSU."
1900970,167,-42.657,65.149,2013-09-22 18:50:56.832000103,2.528,11.632,34.659,"ARGO float 1900970 on cycle 167 reported data on 2013-09-22 at location 42.7°S, 65.1°E. The profile measured temperatures from 2.5°C to 11.6°C and salinities around 34.7 PSU."
1900971,166,-34.239,72.688,2013-09-10 10:33:36.863999861,2.65,13.936,34.983535714285715,"ARGO float 1900971 on cycle 166 reported data on 2013-09-10 at location 34.2°S, 72.7°E. The profile measured temperatures from 2.6°C to 13.9°C and salinities around 35.0 PSU."
1900971,167,-34.213,72.571,2013-09-20 08:57:14.976000086,2.632,15.792,35.024071428571425,"ARGO float 1900971 on cycle 167 reported data on 2013-09-20 at location 34.2°S, 72.6°E. The profile measured temperatures from 2.6°C to 15.8°C and salinities around 35.0 PSU."
1900971,168,-34.174,72.453,2013-09-30 07:20:53.087999982,2.614,14.448,34.96828571428571,"ARGO float 1900971 on cycle 168 reported data on 2013-09-30 at location 34.2°S, 72.5°E. The profile measured temperatures from 2.6°C to 14.4°C and salinities around 35.0 PSU."
1900972,165,-40.383,42.069,2013-09-05 12:28:41.951999879,2.726,14.568,34.86060714285714,"ARGO float 1900972 on cycle 165 reported data on 2013-09-05 at location 40.4°S, 42.1°E. The profile measured temperatures from 2.7°C to 14.6°C and salinities around 34.9 PSU."
1900972,166,-40.601,43.138,2013-09-15 11:50:50.496000051,2.734,13.464,34.84621428571428,"ARGO float 1900972 on cycle 166 reported data on 2013-09-15 at location 40.6°S, 43.1°E. The profile measured temperatures from 2.7°C to 13.5°C and salinities around 34.8 PSU."
1900972,167,-40.667,43.563,2013-09-25 11:12:59.903999887,2.772,14.04,34.85507142857143,"ARGO float 1900972 on cycle 167 reported data on 2013-09-25 at location 40.7°S, 43.6°E. The profile measured temperatures from 2.8°C to 14.0°C and salinities around 34.9 PSU."
1900973,156,-51.166,77.92,2013-09-09 14:34:05.001551345,0.061,2.279,34.31925,"ARGO float 1900973 on cycle 156 reported data on 2013-09-09 at location 51.2°S, 77.9°E. The profile measured temperatures from 0.1°C to 2.3°C and salinities around 34.3 PSU."
1900973,157,-50.48,78.275,2013-09-20 08:22:20.000890231,0.159,2.427,34.305375,"ARGO float 1900973 on cycle 157 reported data on 2013-09-20 at location 50.5°S, 78.3°E. The profile measured temperatures from 0.2°C to 2.4°C and salinities around 34.3 PSU."
1900973,158,-51.051,78.436,2013-09-30 21:09:04.002266125,1.056,2.343,34.25044444444445,"ARGO float 1900973 on cycle 158 reported data on 2013-09-30 at location 51.1°S, 78.4°E. The profile measured temperatures from 1.1°C to 2.3°C and salinities around 34.3 PSU."
1900974,156,-45.829,66.909,2013-09-10 00:48:46.000069807,1.679,4.019,34.18852777777778,"ARGO float 1900974 on cycle 156 reported data on 2013-09-10 at location 45.8°S, 66.9°E. The profile measured temperatures from 1.7°C to 4.0°C and salinities around 34.2 PSU."
1900974,157,-45.916,68.272,2013-09-20 18:30:25.001974647,1.748,3.89,34.17661111111111,"ARGO float 1900974 on cycle 157 reported data on 2013-09-20 at location 45.9°S, 68.3°E. The profile measured temperatures from 1.7°C to 3.9°C and salinities around 34.2 PSU."
1900975,156,-54.151,76.935,2013-09-10 12:46:11.001354349,0.274,2.391,34.2999,"ARGO float 1900975 on cycle 156 reported data on 2013-09-10 at location 54.2°S, 76.9°E. The profile measured temperatures from 0.3°C to 2.4°C and salinities around 34.3 PSU."
1900975,157,-54.068,76.504,2013-09-21 03:16:32.000345048,0.353,2.371,34.26788235294117,"ARGO float 1900975 on cycle 157 reported data on 2013-09-21 at location 54.1°S, 76.5°E. The profile measured temperatures from 0.4°C to 2.4°C and salinities around 34.3 PSU."
1900976,156,-41.895,65.564,2013-09-10 23:16:17.000427247,2.374,10.881,34.48493055555556,"ARGO float 1900976 on cycle 156 reported data on 2013-09-10 at location 41.9°S, 65.6°E. The profile measured temperatures from 2.4°C to 10.9°C and salinities around 34.5 PSU."
